Date,Open,High,Low,Close,Adj Close,Volume
2022-05-17,38373.671875,39393.003906,38014.929688,38964.722656,38964.722656,37268656499
2022-05-18,38962.957031,39190.578125,37015.691406,37015.691406,37015.691406,40321548793
2022-05-19,37015.804688,38953.160156,36916.328125,38860.824219,38860.824219,43295162045
2022-05-20,38856.703125,39276.773438,37021.667969,37492.582031,37492.582031,39480977289
2022-05-21,37491.449219,37990.925781,37270.011719,37789.800781,37789.800781,22180204133
2022-05-22,37790.117188,38985.414063,37588.164063,38863.671875,38863.671875,27723534177
2022-05-23,38845.312500,39122.148438,37062.058594,37211.105469,37211.105469,40260412018
2022-05-24,37213.937500,38161.582031,36976.257813,38029.582031,38029.582031,34132342196
2022-05-25,38026.437500,38641.472656,37830.093750,37900.187500,37900.187500,35288287525
2022-05-26,37903.285156,38290.652344,36267.117188,37389.027344,37389.027344,46979384509
2022-05-27,37368.480469,37475.812500,36047.031250,36430.019531,36430.019531,46552431415
2022-05-28,36703.019531,37058.121094,36337.113281,36933.839844,36933.839844,24499540717
2022-05-29,36929.230469,37537.394531,36701.750000,37473.367188,37473.367188,23026551253
2022-05-30,37470.070313,40449.832031,37270.625000,40151.269531,40151.269531,49708185832
2022-05-31,40148.074219,40744.218750,39567.003906,40174.988281,40174.988281,42381230632
2022-06-01,40175.296875,40419.093750,37350.957031,37751.230469,37751.230469,52113280421
2022-06-02,37745.925781,38478.933594,37557.550781,38297.386719,38297.386719,36557804842
2022-06-03,38297.789063,38520.367188,36970.832031,37414.761719,37414.761719,32969934304
2022-06-04,37416.960938,37699.640625,37157.324219,37576.644531,37576.644531,20894214408
2022-06-05,37579.417969,37935.406250,37251.089844,37640.765625,37640.765625,21728716049
2022-06-06,37645.324219,39797.644531,37617.890625,39471.835938,39471.835938,40197417091
2022-06-07,39473.179688,39465.167969,36930.289063,39057.597656,39057.597656,51111920040
2022-06-08,39052.585938,39186.191406,37580.226563,37932.007813,37932.007813,37966788265
2022-06-09,37933.167969,38448.722656,38139.664063,38250.968750,38250.968750,27555136675
2022-06-10,38248.851563,38403.195313,36991.531250,37180.066406,37180.066406,38181895040
2022-06-11,37181.167969,37586.734375,36096.523438,36255.808594,36255.808594,34831394091
2022-06-12,36272.046875,36437.175781,34250.035156,34250.035156,34250.035156,43721064410
2022-06-13,34217.949219,34292.863281,28539.150391,28991.302734,28991.302734,87931019276
2022-06-14,28992.076172,29655.796875,27026.492188,28748.292969,28748.292969,65911288929
2022-06-15,28735.265625,29183.642578,26121.230469,29060.386719,29060.386719,70693992391
2022-06-16,29064.847656,29414.875000,26251.978516,26405.244141,26405.244141,40400087818
2022-06-17,26410.513672,27534.837891,26360.039063,26668.302734,26668.302734,35345541168
2022-06-18,26670.833984,27012.945313,23069.113281,24774.376953,24774.376953,54725903315
2022-06-19,24765.597656,26927.501953,23536.169922,26724.597656,26724.597656,45938111198
2022-06-20,26724.724609,27167.345703,25645.339844,26743.371094,26743.371094,40010094692
2022-06-21,26736.564453,27933.203125,26429.441406,26784.601563,26784.601563,37466596738
2022-06-22,26796.003906,26975.734375,25698.697266,25910.384766,25910.384766,37043219273
2022-06-23,25909.837891,27440.263672,25856.748047,27390.576172,27390.576172,34018364416
2022-06-24,27388.978516,27686.214844,26970.457031,27369.197266,27369.197266,32172456593
2022-06-25,27371.714844,27742.072266,27024.921875,27718.126953,27718.126953,23683580344
2022-06-26,27710.593750,28080.855469,27094.488281,27120.458984,27120.458984,23250975800
2022-06-27,27121.675781,27644.105469,26567.517578,26691.599609,26691.599609,26987945039
2022-06-28,26686.535156,27141.681641,26045.201172,26109.269531,26109.269531,27526566984
2022-06-29,26109.957031,26204.005859,25638.644531,25902.666016,25902.666016,30346104326
2022-06-30,25908.193359,25968.218750,24114.994141,25468.660156,25468.660156,33813529014
2022-07-01,25514.673828,26560.541016,24639.740234,24829.542969,24829.542969,39645528045
2022-07-02,24836.589844,24961.464844,24517.345703,24794.609375,24794.609375,23323294567
2022-07-03,24794.400391,25224.691406,24439.863281,24871.074219,24871.074219,21125343649
2022-07-04,24871.382813,26044.544922,24579.136719,26015.298828,26015.298828,27768458893
2022-07-05,26007.701172,26895.298828,25183.058594,26314.906250,26314.906250,34819868463
